UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/10/19T00:45:30z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,58,43,675.86,0.00,26264,0,340,0.14,0.63,1.21,0.14,0.63,1.21,3,3,240.89,58.58,3.93,1.23,0.74,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0,0,108.98,29.43,2.24,0.00,0.00,0.00,74.74
2023/10/19T00:47:30z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,44,675.88,0.00,26264,0,460,0.27,0.62,0.62,0.27,0.62,0.62,3,3,266.30,65.25,5.91,0.41,0.05,0.05,0.10,0.19,0.27,0.10,0.19,0.27,1,1,127.27,35.46,3.08,0.22,0.22,0.00,76.83
2023/10/19T00:49:30z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,44,675.88,0.00,26264,0,580,0.03,0.22,0.53,0.03,0.22,0.53,1,1,227.39,52.41,3.31,0.71,0.39,0.17,0.00,0.02,0.02,0.00,0.02,0.02,0,0,104.16,30.14,3.56,0.11,0.00,0.00,77.33
2023/10/19T00:51:30z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,60,44,675.88,0.00,26264,0,700,0.00,0.19,0.37,0.00,0.19,0.37,1,1,230.14,54.44,3.93,0.36,0.19,0.19,0.00,0.09,0.37,0.00,0.09,0.37,0,0,116.63,35.53,3.60,1.11,0.40,0.00,76.88
2023/10/19T00:53:30z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,44,675.87,0.00,26264,0,820,0.34,0.78,0.81,0.34,0.78,0.81,3,3,286.86,66.98,5.62,0.93,0.24,0.00,0.00,0.02,0.10,0.00,0.02,0.10,0,0,129.56,37.00,3.24,0.56,0.00,0.00,76.40
2023/10/19T00:55:30z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,44,675.90,0.00,26264,0,940,0.00,0.52,0.89,0.00,0.52,0.89,2,2,246.32,59.80,5.52,0.80,0.25,0.25,0.00,0.05,0.60,0.00,0.05,0.60,0,0,129.05,36.09,4.48,1.10,0.60,0.26,76.85
2023/10/19T00:57:30z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,43,675.93,0.00,26264,0,1060,0.00,0.04,0.39,0.00,0.04,0.39,0,0,218.84,46.96,4.82,0.44,0.44,0.00,0.00,0.00,0.09,0.00,0.00,0.09,0,0,111.83,30.88,4.16,0.09,0.09,0.00,76.88
2023/10/19T00:59:30z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,44,675.98,0.00,26264,0,1180,0.07,0.20,0.32,0.07,0.20,0.32,1,1,214.58,54.25,3.34,0.17,0.17,0.17,0.00,0.09,0.37,0.00,0.09,0.37,0,0,113.68,33.67,3.61,0.54,0.37,0.26,76.17
2023/10/19T01:01:11z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,44,676.00,nan,26352,0,100,0.36,0.53,0.76,0.36,0.53,0.76,2,2,245.87,65.58,4.98,0.87,0.31,0.00,0.00,0.00,0.29,0.00,0.00,0.29,0,0,100.86,29.90,4.17,0.50,0.50,0.00,nan
2023/10/19T01:03:11z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,58,43,676.03,0.00,26264,0,220,0.03,0.17,0.42,0.03,0.17,0.42,1,1,228.25,52.53,4.36,0.47,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,125.63,35.81,3.18,0.19,0.00,0.00,74.03
